,minute,conf_lower,conf_upper
0,0,0.0,323.44834505540814
1,1,0.0,322.4441915646922
2,2,0.0,321.45561094580114
3,3,0.0,320.4825063520739
4,4,0.0,319.52478125765236
5,5,0.0,318.5823394570145
6,6,0.0,317.6550850645075
7,7,0.0,316.7429225138808
8,8,0.0,315.8457565578192
9,9,0.0,314.96349226747583
10,10,0.0,314.0960350320053
11,11,0.0,313.24329055809676
12,12,0.0,312.4051648695069
13,13,0.0,311.5815643065931
14,14,0.0,310.7723955258465
15,15,0.0,309.9775654994248
16,16,0.0,309.19698151468594
17,17,0.0,308.43055117372046
18,18,0.0,307.678182392885
19,19,0.0,306.9397834023353
20,20,0.0,306.21526274555913
21,21,0.0,305.50452927890944
22,22,0.0,304.8074921711376
23,23,0.0,304.1240609029262
24,24,0.0,303.4541452664221
25,25,0.0,302.79765536476975
26,26,0.0,302.15450161164415
27,27,0.0,301.52459473078386
28,28,0.0,300.90784575552397
29,29,0.0,300.30416602832946
30,30,0.0,299.71346720032807
31,31,0.0,299.1356612308433
32,32,0.0,298.57066038692767
33,33,0.0,298.01837724289567
34,34,0.0,297.4787246798568
35,35,0.0,296.9516158852487
36,36,0.0,296.4369643523703
37,37,0.0,295.93468387991464
38,38,0.0,295.4446885715022
39,39,0.0,294.9668928352138
40,40,0.0,294.5012113831237
41,41,0.0,294.0475592308327
42,42,0.0,293.6058516970012
43,43,0.0,293.17600440288226
44,44,0.0,292.7579332718547
45,45,0.0,292.3515545289561
46,46,0.0,291.95678470041594
47,47,0.0,291.5735406131884
48,48,0.0,291.201739394486
49,49,0.0,290.84129847131214
50,50,0.0,290.49213556999433
51,51,0.0,290.15416871571733
52,52,0.0,289.8273162320561
53,53,0.0,289.511496740509
54,54,0.0,289.20662916003073
55,55,0.0,288.9126327065655
56,56,0.0,288.62942689258
57,57,0.0,288.35693152659655
58,58,0.0,288.09506671272607
59,59,0.0,287.84375285020127
60,60,0.0,287.6029106329097
61,61,0.0,287.3724610489266
62,62,0.0,287.15232538004835
63,63,0.0,286.94242520132514
64,64,0.0,286.7426823805944
65,65,0.0,286.55301907801356
66,66,0.0,286.37335774559324
67,67,0.0,286.2036211267304
68,68,0.0,286.0437322557413
69,69,0.0,285.8936144573946
70,70,0.0,285.75319134644445
71,71,0.0,285.6223868271634
72,72,0.0,285.5011250928758
73,73,0.0,285.38933062549046
74,74,0.0,285.28692819503414
75,75,0.0,285.19384285918414
76,76,0.0,285.1099999628019
77,77,0.0,285.0353251374655
78,78,0.0,284.96974430100335
79,79,0.0,284.91318365702665
80,80,0.0,284.8655696944628
81,81,0.0,284.8268291870885
82,82,0.0,284.7968891930626
83,83,0.0,284.7756770544594
84,84,0.0,284.76312039680136
85,85,0.0,284.75914712859276
86,86,0.0,284.76368544085216
87,87,0.0,284.77666380664573
88,88,0.0,284.7980109806204
89,89,0.0,284.82765599853684
90,90,0.0,284.86552817680246
91,91,0.0,284.9115571120045
92,92,0.0,284.9656726804432
93,93,0.0,285.0278050376649
94,94,0.0,285.09788461799474
95,95,0.0,285.17584213407025
96,96,0.0,285.2616085763741
97,97,0.0,285.35511521276703
98,98,0.0,285.4562935880214
99,99,0.0,285.5650755233539
100,100,0.0,285.68139311595854
101,101,0.0,285.80517873854
102,102,0.0,285.9363650388465
103,103,0.0,286.07488493920295
104,104,0.0,286.2206716360441
105,105,0.0,286.37365859944725
106,106,0.0,286.5337795726659
107,107,0.0,286.70096857166214
108,108,0.0,286.87515988464037
109,109,0.0,287.05628807157984
110,110,0.0,287.24428796376804
111,111,0.0,287.4390946633337
112,112,0.0,287.6406435427798
113,113,0.0,287.8488702445165
114,114,0.0,288.0637106803945
115,115,0.0,288.28510103123807
116,116,0.0,288.5129777463779
117,117,0.0,288.7472775431842
118,118,0.0,288.9879374066
119,119,0.0,289.234894588674
120,120,0.0,289.4880866080938
121,121,0.0,289.7474512497187
122,122,0.0,290.0129265641131
123,123,0.0,290.28445086707933
124,124,0.0,290.5619627391908
125,125,0.0,290.845401025325
126,126,0.0,291.1347048341967
127,127,0.0,291.42981353789105
128,128,0.0,291.7306667713964
129,129,0.0,292.03720443213746
130,130,0.0,292.3493666795085
131,131,0.0,292.6670939344063
132,132,0.0,292.9903268787633
133,133,0.0,293.3190064550806
134,134,0.0,293.65307386596106
135,135,0.0,293.9924705736422
136,136,0.0,294.3371382995296
137,137,0.0,294.68701902372965
138,138,0.0,295.0420549845829
139,139,0.0,295.4021886781967
140,140,0.0,295.7673628579789
141,141,0.0,296.13752053417033
142,142,0.0,296.5126049733782
143,143,0.0,296.8925596981089
144,144,0.0,297.2773284863014
145,145,0.0,297.66685537086016
146,146,0.0,298.061084639188
147,147,0.0,298.4599608327195
148,148,0.0,298.8634287464539
149,149,0.0,299.2714334284882
150,150,0.0,299.6839201795501
151,151,0.0,300.1008345525313
152,152,0.0,300.5221223520204
153,153,0.0,300.94772963383593
