,minute,conf_lower,conf_upper
0,0,393.22560671676706,1532.8882250411943
1,1,389.09068261299717,1528.7533009374245
2,2,385.0017518933986,1524.6643702178258
3,3,380.9585579418075,1520.6211762662347
4,4,376.96084494287277,1516.6234632673
5,5,373.00835788093593,1512.6709762053633
6,6,369.1008425389118,1508.763460863339
7,7,365.23804549716874,1504.900663821596
8,8,361.4197141324088,1501.082332456836
9,9,357.6455966165478,1497.3082149409752
10,10,353.9154419155958,1493.5780602400232
11,11,350.2289997885374,1489.8916181129648
12,12,346.586020786212,1486.2486391106393
13,13,342.9862562501935,1482.6488745746208
14,14,339.42945831167174,1479.0920766360991
15,15,335.91537989033134,1475.5779982147587
16,16,332.4437746932332,1472.1063930176606
17,17,329.01439721369377,1468.677015538121
18,18,325.62700273016594,1465.2896210545932
19,19,322.2813473051193,1461.9439656295467
20,20,318.9771877839198,1458.639806108347
21,21,315.7142817937107,1455.376900118138
22,22,312.4923877422924,1452.1550060667196
23,23,309.3112648170028,1448.9738831414302
24,24,306.17067298359746,1445.8332913080249
25,25,303.07037298513046,1442.7329913095577
26,26,300.0101263408336,1439.6727446652608
27,27,296.9896953449976,1436.652313669425
28,28,294.0088430658517,1433.671461390279
29,29,291.06733334444436,1430.7299516688718
30,30,288.16493079352335,1427.8275491179506
31,31,285.30140079641603,1424.9640191208432
32,32,282.47650950590946,1422.1391278303367
33,33,279.6900238431309,1419.3526421675583
34,34,276.94171149642796,1416.6043298208551
35,35,274.2313409202486,1413.893959244676
36,36,271.558681334022,1411.2212996584494
37,37,268.9235027210382,1408.5861210454655
38,38,266.3255758273284,1405.9881941517556
39,39,263.76467216054596,1403.4272904849731
40,40,261.2405639888457,1400.903182313273
41,41,258.7530243397646,1398.4156426641919
42,42,256.3018269991021,1395.9644453235294
43,43,253.88674650980033,1393.5493648342276
44,44,251.50755817082415,1391.1701764952513
45,45,249.1640380360417,1388.8266563604689
46,46,246.85596291310458,1386.5185812375319
47,47,244.58311036232783,1384.2457286867552
48,48,242.34525869557046,1382.0078770199977
49,49,240.1421869751158,1379.8048052995432
50,50,237.97367501255155,1377.6362933369787
51,51,235.83950336765008,1375.5021216920773
52,52,233.7394533472485,1373.402071671676
53,53,231.67330700412947,1371.3359253285566
54,54,229.6408471359008,1369.303465460328
55,55,227.6418572838761,1367.3044756083034
56,56,225.67612173195505,1365.3387400563824
57,57,223.7434255055034,1363.4060438299307
58,58,221.8435543702335,1361.5061726946608
59,59,219.97629483108415,1359.6389131555115
60,60,218.14143413110162,1357.804052455529
61,61,216.33876025031896,1356.0013785747462
62,62,214.5680619046368,1354.230680229064
63,63,212.82912854470374,1352.491746869131
64,64,211.1217503547963,1350.7843686792235
65,65,209.44571825169896,1349.1083365761262
66,66,207.80082388358517,1347.4634422080126
67,67,206.18685962889697,1345.8494779533244
68,68,204.60361859522516,1344.2662369196523
69,69,203.05089461819045,1342.7135129426179
70,70,201.52848226032233,1341.1911005847496
71,71,200.03617680994068,1339.698795134368
72,72,198.5737742800352,1338.2363926044625
73,73,197.1410714071459,1336.8036897315733
74,74,195.7378656502433,1335.4004839746706
75,75,194.36395518960876,1334.026573514036
76,76,193.01913892571486,1332.6817572501423
77,77,191.70321647810533,1331.3658348025326
78,78,190.41598818427565,1330.078606508703
79,79,189.15725509855304,1328.8198734229804
80,80,187.92681899097659,1327.5894373154038
81,81,186.7244823461782,1326.3871006706054
82,82,185.55004836226215,1325.2126666866893
83,83,184.40332094968562,1324.065939274113
84,84,183.28410473013867,1322.946723054566
85,85,182.19220503542522,1321.8548233598526
86,86,181.12742790634218,1320.7900462307693
87,87,180.08958009156106,1319.7521984159885
88,88,179.07846904650705,1318.7410873709343
89,89,178.09390293223976,1317.756521256667
90,90,177.1356906143336,1316.7983089387608
91,91,176.20364166175784,1315.866259986185
92,92,175.29756634575688,1314.9601846701842
93,93,174.41727563873053,1314.0798939631577
94,94,173.5625812131144,1313.2251995375418
95,95,172.7332954402599,1312.395913764687
96,96,171.9292313893145,1311.5918497137418
97,97,171.1502028261026,1310.81282115053
98,98,170.39602421200482,1310.0586425364322
99,99,169.66651070283876,1309.329129027266
100,100,168.96147814773963,1308.624096472167
101,101,168.28074308803969,1307.9433614124669
102,102,167.62412275614906,1307.2867410805763
103,103,166.99143507443603,1306.6540533988632
104,104,166.3824986541067,1306.045116978534
105,105,165.7971327940861,1305.4597511185134
106,106,165.23515747989757,1304.8977758043247
107,107,164.696393382544,1304.3590117069712
108,108,164.180661857387,1303.8432801818144
109,109,163.68778494302796,1303.3504032674552
110,110,163.21758536018785,1302.880203684615
111,111,162.7698865105882,1302.4325048350156
112,112,162.34451247583013,1302.0071308002575
113,113,161.94128801627573,1301.603906340703
114,114,161.56003856992754,1301.2226568943547
115,115,161.20059025130956,1300.8632085757367
116,116,160.8627698503467,1300.525388174774
117,117,160.5464048312457,1300.209023155673
118,118,160.25132333137503,1299.9139416558023
119,119,159.97735416014518,1299.6399724845724
120,120,159.72432679788915,1299.3869451223163
121,121,159.49207139474208,1299.1546897191693
122,122,159.2804187695225,1298.94303709395
123,123,159.08920040861153,1298.7518187330388
124,124,158.91824846483416,1298.5808667892616
125,125,158.76739575633837,1298.4300140807657
126,126,158.63647576547658,1298.299094089904
127,127,158.5253226376849,1298.1879409621122
128,128,158.43377118036426,1298.0963895047917
129,129,158.3616568617598,1298.024275186187
