,minute,conf_lower,conf_upper
0,0,117.90640172057374,1327.1455928360058
1,1,114.00961005413478,1323.2488011695668
2,2,110.15683749785399,1319.396028613286
3,3,106.34783464744987,1315.587025762882
4,4,102.58235288850892,1311.821544003941
5,5,98.860144395367,1308.099335510799
6,6,95.18096212999023,1304.4201532454222
7,7,91.54455984085621,1300.7837509562883
8,8,87.9506920618353,1297.1898831772673
9,9,84.39911411107153,1293.6383052265037
10,10,80.88958208986412,1290.128773205296
11,11,77.42185288154838,1286.6610439969804
12,12,73.99568415037686,1283.234875265809
13,13,70.61083434040063,1279.8500254558326
14,14,67.26706267435054,1276.5062537897825
15,15,63.9641291525179,1273.20332026795
16,16,60.70179455163645,1269.9409856670686
17,17,57.47982042376259,1266.7190115391945
18,18,54.29796909515744,1263.5371602105895
19,19,51.15600366516708,1260.395194780599
20,20,48.05368800510473,1257.2928791205368
21,21,44.99078675713099,1254.229977872563
22,22,41.96706533313568,1251.2062564485677
23,23,38.982289913618274,1248.2214810290502
24,24,36.03622744657014,1245.2754185620022
25,25,33.128645646354585,1242.3678367617867
26,26,30.259312992588548,1239.4985041080206
27,27,27.427998729023898,1236.667189844456
28,28,24.634472862428197,1233.8736639778604
29,29,21.878506161466362,1231.1176972768985
30,30,19.15987015558119,1228.3990612710131
31,31,16.478337133875243,1225.7175282493072
32,32,13.83368014399116,1223.0728712594232
33,33,11.225672990993758,1220.464864106426
34,34,8.654090236250454,1217.8932813516826
35,35,6.118707196312698,1215.3578983117447
36,36,3.619299941797294,1212.8584910572295
37,37,1.1556452962673802,1210.3948364116995
38,38,0.0,1207.9667119505457
39,39,0.0,1205.573895999867
40,40,0.0,1203.216167635353
41,41,0.0,1200.8933066811633
42,42,0.0,1198.6050937088107
43,43,0.0,1196.3513100360406
44,44,0.0,1194.1317377257133
45,45,0.0,1191.9461595846842
46,46,0.0,1189.7943591626859
47,47,0.0,1187.6761207512095
48,48,0.0,1185.5912293823842
49,49,0.0,1183.5394708278602
50,50,0.0,1181.5206315976889
51,51,0.0,1179.5344989392042
52,52,0.0,1177.5808608359043
53,53,0.0,1175.659506006332
54,54,0.0,1173.7702239029559
55,55,0.0,1171.9128047110526
56,56,0.0,1170.0870393475861
57,57,0.0,1168.2927194600911
58,58,0.0,1166.5296374255527
59,59,0.0,1164.797586349287
60,60,0.0,1163.096360063825
61,61,0.0,1161.42575312779
62,62,0.0,1159.785560824782
63,63,0.0,1158.175579162257
64,64,0.0,1156.595604870409
65,65,0.0,1155.0454354010508
66,66,0.0,1153.524868926495
67,67,0.0,1152.0337043384357
68,68,0.0,1150.5717412468293
69,69,0.0,1149.1387799787758
70,70,0.0,1147.7346215773996
71,71,0.0,1146.3590678007315
72,72,0.0,1145.0119211205888
73,73,0.0,1143.692984721457
74,74,0.0,1142.402062499371
75,75,0.0,1141.1389590607964
76,76,0.0,1139.9034797215108
77,77,0.0,1138.6954305054837
78,78,0.0,1137.5146181437594
79,79,0.0,1136.3608500733367
80,80,0.0,1135.2339344360512
81,81,0.0,1134.1336800774561
82,82,0.0,1133.059896545702
83,83,0.0,1132.0123940904214
84,84,0.0,1130.9909836616057
85,85,0.0,1129.9954769084893
86,86,0.0,1129.0256861784305
87,87,0.0,1128.0814245157912
88,88,0.0,1127.162505660819
89,89,0.0,1126.2687440485283
90,90,0.0,1125.3999548075817
91,91,0.0,1124.5559537591707
92,92,0.0,1123.736557415897
93,93,0.0,1122.9415829806535
94,94,0.0,1122.1708483455063
95,95,0.0,1121.4241720905748
96,96,0.0,1120.7013734829134
97,97,0.0,1120.0022724753924
98,98,0.0,1119.3266897055794
99,99,0.0,1118.6744464946205
100,100,0.0,1118.0453648461212
101,101,0.0,1117.439267445028
102,102,0.0,1116.855977656509
103,103,0.0,1116.295319524835
104,104,0.0,1115.7571177722614
105,105,0.0,1115.2411977979093
106,106,0.0,1114.7473856766455
107,107,0.0,1114.2755081579653
108,108,0.0,1113.8253926648722
109,109,0.0,1113.39686729276
110,110,0.0,1112.9897608082933
111,111,0.0,1112.6039026482895
112,112,0.0,1112.2391229185992
113,113,0.0,1111.895252392988
114,114,0.0,1111.5721225120167
115,115,0.0,1111.2695653819237
116,116,0.0,1110.987413773505
117,117,0.0,1110.7255011209961
118,118,0.0,1110.483661520953
119,119,0.0,1110.2617297311335
120,120,0.0,1110.0595411693778
121,121,0.0,1109.8769319124901
122,122,0.0,1109.71373869512
123,123,0.0,1109.569798908643
124,124,0.0,1109.444950600042
125,125,0.0,1109.3390324707889
126,126,0.0,1109.2518838757253
127,127,0.0,1109.1833448219431
128,128,0.0,1109.133255967667
129,129,0.0,1109.1014586211345
130,130,0.0,1109.0877947394774
131,131,0.0,1109.0921069276037
132,132,0.0,1109.114238437077
133,133,0.0,1109.154033165
134,134,0.0,1109.211335652894
135,135,0.0,1109.28599108558
136,136,0.0,1109.3778452900606
137,137,0.0,1109.4867447344018
138,138,0.0,1109.6125365266118
139,139,0.0,1109.7550684135247
140,140,0.0,1109.9141887796804
141,141,0.0,1110.0897466462059
142,142,0.0,1110.2815916696964
143,143,0.0,1110.4895741410965
144,144,0.0,1110.7135449845819
145,145,0.0,1110.9533557564398
146,146,0.0,1111.2088586439506
147,147,0.0,1111.4799064642687
148,148,0.0,1111.7663526633037
149,149,0.0,1112.0680513146015
150,150,0.0,1112.3848571182261
151,151,0.0,1112.7166253996402
152,152,0.0,1113.0632121085864
153,153,0.0,1113.4244738179682
154,154,0.0,1113.8002677227312
155,155,0.0,1114.190451638745
156,156,0.0,1114.5948840016836
157,157,0.0,1115.0134238659064
158,158,0.0,1115.4459309033402
159,159,0.0,1115.89226540236
160,160,0.0,1116.352288266669
161,161,0.0,1116.825861014182
162,162,0.0,1117.3128457759049
163,163,0.0,1117.813105294816
164,164,0.0,1118.3265029247482
165,165,0.0,1118.852902629269
166,166,0.0,1119.3921689805616
167,167,0.0,1119.9441671583077
168,168,0.0,1120.508762948567
169,169,0.0,1121.0858227426588
170,170,0.0,1121.675213536043
171,171,0.0,1122.276802927202
172,172,0.0,1122.890459116521
173,173,0.0,1123.5160509051707
174,174,0.0,1124.153447693985
175,175,0.0,1124.8025194823472
176,176,0.0,1125.4631368670657
177,177,0.0,1126.1351710412605
178,178,0.0,1126.8184937932401
179,179,0.0,1127.5129775053842
180,180,0.0,1128.2184951530257
181,181,0.0,1128.9349203033316
182,182,0.0,1129.662127114182
183,183,0.0,1130.3999903330548
184,184,0.0,1131.1483852959036
185,185,0.0,1131.9071879260416
186,186,0.0,1132.6762747330201
187,187,0.0,1133.4555228115119
188,188,0.0,1134.244809840191
189,189,0.0,1135.044014080615
190,190,0.0,1135.853014376105
191,191,0.0,1136.6716901506275
192,192,0.0,1137.4999214076756
193,193,0.0,1138.3375887291504
194,194,0.0,1139.1845732742404
195,195,0.0,1140.040756778305
196,196,0.0,1140.9060215517547
197,197,0.0,1141.7802504789315
198,198,0.0,1142.6633270169918
199,199,0.0,1143.5551351947859
200,200,0.0,1144.4555596117398
201,201,0.0,1145.3644854367362
202,202,0.0,1146.2817984069966
203,203,0.0,1147.207384826961
204,204,0.0,1148.1411315671699
205,205,0.0,1149.0829260631454
206,206,0.0,1150.0326563142723
207,207,0.0,1150.9902108826793
208,208,0.0,1151.9554788921196
209,209,0.0,1152.9283500268534
210,210,0.0,1153.9087145305275
211,211,0.0,1154.8964632050574
212,212,0.0,1155.891487409509
213,213,0.0,1156.8936790589773
214,214,0.0,1157.9029306234709
215,215,0.0,1158.9191351267905
216,216,0.0,1159.942186145412
217,217,0.0,1160.9719778073659
218,218,0.0,1162.00840479112
219,219,0.0,1163.0513623244592
220,220,0.0,1164.1007461833678
221,221,0.0,1165.15645269091
222,222,0.0,1166.218378716112
223,223,0.0,1167.2864216728412
224,224,0.0,1168.3604795186893
225,225,0.0,1169.4404507538525
226,226,0.0,1170.5262344200132
227,227,0.0,1171.6177300992204
228,228,0.0,1172.714837912772
229,229,0.0,1173.817458520095
230,230,0.0,1174.9254931176265
231,231,0.0,1176.0388434376955
232,232,0.0,1177.1574117474054
233,233,0.0,1178.281100847511
234,234,0.0,1179.4098140713036
235,235,0.0,1180.5434552834918
236,236,0.0,1181.6819288790803
237,237,0.0,1182.8251397822528
238,238,0.0,1183.9729934452535
239,239,0.0,1185.1253958472666
240,240,0.0,1186.2822534932998
241,241,0.0,1187.4434734130627
242,242,0.0,1188.608963159851
243,243,0.0,1189.7786308094242
244,244,0.0,1190.9523849588895
245,245,0.0,1192.1301347255826
246,246,0.0,1193.3117897459479
247,247,0.0,1194.4972601744194
248,248,0.0,1195.6864566823042
249,249,0.0,1196.8792904566603
250,250,0.0,1198.0756731991808
251,251,0.0,1199.2755171250728
252,252,0.0,1200.4787349619403
253,253,0.0,1201.6852399486636
254,254,0.0,1202.8949458342827
255,255,0.0,1204.1077668768762
256,256,0.0,1205.3236178424438
257,257,0.0,1206.5424140037871
258,258,0.0,1207.764071139391
259,259,0.0,1208.9885055323043
260,260,0.9764428535887646,1210.215633969021
261,261,2.2061826229301005,1211.4453737383622
262,262,3.43845151492485,1212.6776426303568
263,263,4.67316781969032,1213.9123589351225
264,264,5.910250326313417,1215.1494414417455
265,265,7.1496183217346925,1216.3888094371669
266,266,8.391191589623645,1217.6303827050556
267,267,9.634890409265722,1218.8740815246979
268,268,10.880635554440119,1220.119826669872
269,269,12.128348292302235,1221.3675394077343
270,270,13.37795038226443,1222.6171414976966
271,271,14.629364074876776,1223.8685551903088
