,minute,conf_lower,conf_upper
0,0,0.0,2.455643505726562
1,1,0.0,2.4460898271856566
2,2,0.0,2.4366724429967666
3,3,0.0,2.42739057266572
4,4,0.0,2.418243438108892
5,5,0.0,2.409230263649884
6,6,0.0,2.400350276016199
7,7,0.0,2.3916027043359236
8,8,0.0,2.382986780134401
9,9,0.0,2.374501737330914
10,10,0.0,2.3661468122353617
11,11,0.0,2.3579212435449346
12,12,0.0,2.349824272340796
13,13,0.0,2.34185514208476
14,14,0.0,2.334013098615968
15,15,0.0,2.326297390147566
16,16,0.0,2.318707267263386
17,17,0.0,2.3112419829146216
18,18,0.0,2.303900792416506
19,19,0.0,2.296682953444991
20,20,0.0,2.2895877260334254
21,21,0.0,2.2826143725692316
22,22,0.0,2.2757621577905844
23,23,0.0,2.2690303487830907
24,24,0.0,2.262418214976464
25,25,0.0,2.2559250281412058
26,26,0.0,2.2495500623852815
27,27,0.0,2.2432925941508013
28,28,0.0,2.237151902210694
29,29,0.0,2.2311272676653884
30,30,0.0,2.225217973939491
31,31,0.0,2.219423306778463
32,32,0.0,2.213742554245298
33,33,0.0,2.2081750067172026
34,34,0.0,2.202719956882271
35,35,0.0,2.1973766997361666
36,36,0.0,2.192144532578797
37,37,0.0,2.187022755010994
38,38,0.0,2.182010668931191
39,39,0.0,2.1771075785321017
40,40,0.0,2.172312790297396
41,41,0.0,2.1676256129983824
42,42,0.0,2.163045357690681
43,43,0.0,2.1585713377109044
44,44,0.0,2.1542028686733365
45,45,0.0,2.1499392684666083
46,46,0.0,2.145779857250377
47,47,0.0,2.1417239574520055
48,48,0.0,2.1377708937632374
49,49,0.0,2.133919993136878
50,50,0.0,2.1301705847834715
51,51,0.0,2.1265220001679768
52,52,0.0,2.1229735730064494
53,53,0.0,2.1195246392627167
54,54,0.0,2.1161745371450578
55,55,0.0,2.11292260710288
56,56,0.0,2.1097681918233975
57,57,0.0,2.1067106362283106
58,58,0.0,2.1037492874704813
59,59,0.0,2.1008834949306143
60,60,0.0,2.0981126102139327
61,61,0.0,2.0954359871468573
62,62,0.0,2.0928529817736843
63,63,0.0,2.0903629523532636
